soc_2010,title_2010,group_id,oews_tot_emp_allocated,oews_tot_emp_imputed,oews_a_mean,equal_1p_api_task_count,equal_claude_ai_task_count,equal_1p_api_automation_count,equal_claude_ai_automation_count,equal_1p_api_augmentation_count,equal_claude_ai_augmentation_count,equal_total_task_count,equal_total_automation_count,equal_total_augmentation_count,emp_1p_api_task_count,emp_claude_ai_task_count,emp_1p_api_automation_count,emp_claude_ai_automation_count,emp_1p_api_augmentation_count,emp_claude_ai_augmentation_count,emp_total_task_count,emp_total_automation_count,emp_total_augmentation_count,emp_1p_api_task_count_pc,emp_claude_ai_task_count_pc,emp_1p_api_automation_count_pc,emp_claude_ai_automation_count_pc,emp_1p_api_augmentation_count_pc,emp_claude_ai_augmentation_count_pc,emp_total_task_count_pc,emp_total_automation_count_pc,emp_total_augmentation_count_pc
11-3051,Industrial Production Managers,10,211710.0,211710.0,120900.0,247.0,320.0,172.0,33.0,0.0,36.0,567.0,205.0,36.0,247.0,320.0,172.0,33.0,0.0,36.0,567.0,205.0,36.0,0.0011666902838788908,0.001511501582353219,0.0008124321005148552,0.00015587360068017571,0.0,0.00017004392801473714,0.00267819186623211,0.0009683057011950309,0.00017004392801473714
11-3061,Purchasing Managers,11,75070.0,75070.0,140650.0,2855.0,1222.0,2529.0,578.0,90.0,409.0,4077.0,3107.0,499.0,2855.0,1222.0,2529.0,578.0,90.0,409.0,4077.0,3107.0,499.0,0.03803117090715332,0.016278140402291193,0.03368855734647662,0.007699480484880778,0.0011988810443585986,0.0054482483015851875,0.05430931130944452,0.0413880378313574,0.006647129345943786
11-3071,"Transportation, Storage, and Distribution Managers",12,169910.0,169910.0,108910.0,4864.0,1620.0,3808.0,432.0,212.0,620.0,6484.0,4240.0,832.0,4864.0,1620.0,3808.0,432.0,212.0,620.0,6484.0,4240.0,832.0,0.028626920134188688,0.009534459419692779,0.022411865105055617,0.002542522511918074,0.0012477193808486846,0.0036489906421046437,0.038161379553881464,0.024954387616973692,0.004896710022953328
11-3111,Compensation and Benefits Managers,13,16850.0,16850.0,143140.0,186.0,753.0,129.0,157.0,0.0,271.0,939.0,286.0,271.0,144.50108470813782,718.970889460673,91.65097623732404,157.0,0.0,271.0,863.4719741688109,248.65097623732404,271.0,0.008575732030156548,0.04266889551695389,0.005439227076399053,0.009317507418397626,0.0,0.016083086053412462,0.05124462754711044,0.01475673449479668,0.016083086053412462
11-3121,Human Resources Managers,14,181360.0,181360.0,145750.0,693.0,945.0,478.0,243.0,58.0,349.0,1638.0,721.0,407.0,734.4989152918622,979.029110539327,515.349023762676,243.0,58.0,349.0,1713.528025831189,758.349023762676,407.0,0.004049949907873082,0.005398263732572381,0.0028415804133363255,0.0013398764887516542,0.00031980591089545655,0.0019243493603881782,0.009448213640445463,0.00418145690208798,0.0022441552712836347
11-3131,Training and Development Managers,15,39550.0,39550.0,132100.0,794.0,2398.0,512.0,897.0,72.0,1246.0,3192.0,1409.0,1318.0,794.0,2398.0,512.0,897.0,72.0,1246.0,3192.0,1409.0,1318.0,0.020075853350189632,0.06063211125158028,0.012945638432364097,0.022680151706700378,0.001820480404551201,0.03150442477876106,0.0807079646017699,0.03562579013906447,0.03332490518331226
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",16,6250.0,6250.0,83790.0,92.0,1305.0,15.0,275.0,0.0,625.0,1397.0,290.0,625.0,92.0,1305.0,15.0,275.0,0.0,625.0,1397.0,290.0,625.0,0.01472,0.2088,0.0024,0.044,0.0,0.1,0.22352,0.0464,0.1
11-9021,Construction Managers,17,303220.0,303220.0,112790.0,520.0,981.0,380.0,241.0,0.0,444.0,1501.0,621.0,444.0,520.0,981.0,380.0,241.0,0.0,444.0,1501.0,621.0,444.0,0.00171492645603852,0.003235274718026515,0.0012532154871050722,0.0007948024536640064,0.0,0.0014642833586175055,0.004950201174065035,0.0020480179407690786,0.0014642833586175055
11-9031,"Education Administrators, Preschool and Childcare Center/Program",18,60010.0,60010.0,57610.0,393.0,1117.0,281.0,434.0,0.0,411.0,1510.0,715.0,411.0,393.0,1117.0,281.0,434.0,0.0,411.0,1510.0,715.0,411.0,0.006548908515247458,0.018613564405932346,0.004682552907848692,0.007232127978670222,0.0,0.006848858523579403,0.025162472921179804,0.011914680886518914,0.006848858523579403
11-9032,"Education Administrators, Elementary and Secondary School",19,285910.0,285910.0,106690.0,2116.0,4630.0,1269.0,1745.0,528.0,2428.0,6746.0,3014.0,2956.0,2116.0,4630.0,1269.0,1745.0,528.0,2428.0,6746.0,3014.0,2956.0,0.007400930362701549,0.016193907173586094,0.004438459655136231,0.006103319226329964,0.0018467349865342242,0.0084921828547445,0.023594837536287643,0.010541778881466195,0.010338917841278723
11-9033,"Education Administrators, Postsecondary",20,167060.0,167060.0,115180.0,67.0,2070.0,35.0,713.0,0.0,905.0,2137.0,748.0,905.0,67.0,2070.0,35.0,713.0,0.0,905.0,2137.0,748.0,905.0,0.00040105351370764994,0.012390757811564707,0.0002095055668622052,0.004267927690650066,0.0,0.005417215371722735,0.012791811325272358,0.004477433257512271,0.005417215371722735
11-9039,"Education Administrators, All Other",21,50180.0,50180.0,99820.0,3332.0,7156.0,2440.0,1901.0,275.0,4789.0,10488.0,4341.0,5064.0,3332.0,7156.0,2440.0,1901.0,275.0,4789.0,10488.0,4341.0,5064.0,0.06640095655639697,0.14260661618174572,0.04862495017935432,0.03788361897170187,0.005480271024312475,0.09543642885611797,0.2090075727381427,0.0865085691510562,0.10091669988043045
11-9041,Architectural and Engineering Managers,22,197180.0,197180.0,163310.0,445.0,2741.0,310.0,716.0,16.0,1630.0,3186.0,1026.0,1646.0,445.0,2741.0,310.0,716.0,16.0,1630.0,3186.0,1026.0,1646.0,0.002256821178618521,0.013901004158636779,0.0015721675626331271,0.0036311999188558676,8.11441322649356e-05,0.008266558474490314,0.0161578253372553,0.005203367481488995,0.008347702606755249
11-9051,Food Service Managers,23,231100.0,231100.0,67130.0,374.0,286.0,249.0,32.0,0.0,15.0,660.0,281.0,15.0,374.0,286.0,249.0,32.0,0.0,15.0,660.0,281.0,15.0,0.0016183470359151882,0.001237559498052791,0.0010774556469061013,0.00013846819558632626,0.0,6.490696668109043e-05,0.0028559065339679793,0.0012159238424924274,6.490696668109043e-05
11-9061,Funeral Service Managers,33,13680.0,13680.0,84770.0,971.0,1044.0,737.0,410.0,19.0,281.0,2015.0,1147.0,300.0,971.0,1038.8181818181818,737.0,410.0,19.0,278.54545454545456,2009.8181818181818,1147.0,297.54545454545456,0.07097953216374268,0.07593700159489633,0.053874269005847956,0.029970760233918127,0.001388888888888889,0.020361509835194046,0.14691653375863903,0.08384502923976608,0.021750398724082937
11-9071,Gaming Managers,24,4800.0,4800.0,95830.0,276.0,123.0,210.0,18.0,0.0,0.0,399.0,228.0,0.0,276.0,123.0,210.0,18.0,0.0,0.0,399.0,228.0,0.0,0.0575,0.025625,0.04375,0.00375,0.0,0.0,0.083125,0.0475,0.0
11-9081,Lodging Managers,26,39870.0,39870.0,73230.0,734.0,789.0,490.0,250.0,0.0,331.0,1523.0,740.0,331.0,734.0,789.0,490.0,250.0,0.0,331.0,1523.0,740.0,331.0,0.01840983195385001,0.019789315274642588,0.012289942312515676,0.006270378730875345,0.0,0.008301981439678956,0.0381991472284926,0.01856032104339102,0.008301981439678956
11-9111,Medical and Health Services Managers,27,476750.0,476750.0,127980.0,866.0,2264.0,647.0,1099.0,34.0,898.0,3130.0,1746.0,932.0,866.0,2264.0,647.0,1099.0,34.0,898.0,3130.0,1746.0,932.0,0.001816465652857892,0.0047488201363398005,0.0013571054011536445,0.0023051914001048766,7.13162034609334e-05,0.0018835867855270057,0.006565285789197693,0.003662296801258521,0.001954902988987939
11-9121,Natural Sciences Managers,28,82570.0,82570.0,163610.0,9528.0,3432.0,7597.0,1423.0,752.0,1225.0,12960.0,9020.0,1977.0,9528.0,3432.0,7597.0,1423.0,752.0,1225.0,12960.0,9020.0,1977.0,0.11539299987889064,0.04156473295385733,0.09200678212425821,0.017233862177546324,0.0091074240038755,0.014835896814823786,0.15695773283274797,0.10924064430180452,0.023943320818699286
11-9131,Postmasters and Mail Superintendents,29,13460.0,13460.0,84190.0,160.0,48.0,112.0,0.0,0.0,0.0,208.0,112.0,0.0,160.0,48.0,112.0,0.0,0.0,0.0,208.0,112.0,0.0,0.01188707280832095,0.003566121842496285,0.008320950965824666,0.0,0.0,0.0,0.015453194650817237,0.008320950965824666,0.0
11-9141,"Property, Real Estate, and Community Association Managers",30,261120.0,261120.0,76110.0,1433.0,1476.0,1179.0,506.0,0.0,523.0,2909.0,1685.0,523.0,1433.0,1476.0,1179.0,506.0,0.0,523.0,2909.0,1685.0,523.0,0.005487898284313725,0.005652573529411765,0.00451516544117647,0.0019378063725490197,0.0,0.002002910539215686,0.01114047181372549,0.00645297181372549,0.002002910539215686
11-9151,Social and Community Service Managers,31,162880.0,162880.0,79310.0,411.0,664.0,305.0,230.0,15.0,306.0,1075.0,535.0,321.0,411.0,664.0,305.0,230.0,15.0,306.0,1075.0,535.0,321.0,0.002523330058939096,0.004076620825147348,0.0018725442043222003,0.0014120825147347742,9.209233791748527e-05,0.0018786836935166995,0.006599950884086444,0.0032846267190569742,0.0019707760314341847
11-9161,Emergency Management Directors,32,11290.0,11290.0,88890.0,0.0,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.006554472984942427,0.0,0.0,0.0,0.0,0.006554472984942427,0.0,0.0
11-9199,"Managers, All Other (#)",25,856383.3333333333,856383.3333333333,125709.49656501178,30246.0,16910.0,21566.0,6482.0,2965.0,8183.0,47156.0,28048.0,11148.0,30246.0,16910.0,21566.0,6482.0,2965.0,8183.0,47156.0,28048.0,11148.0,0.035318295934453035,0.019745830332989513,0.025182647957495672,0.007569040344082674,0.003462234591207209,0.009555300391179963,0.055064126267442545,0.03275168830157835,0.013017534982387172
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",34,13130.0,13130.0,120100.0,2313.0,7358.0,1901.0,2166.0,165.0,4959.0,9671.0,4067.0,5124.0,2313.0,7358.0,1901.0,2166.0,165.0,4959.0,9671.0,4067.0,5124.0,0.17616146230007615,0.5603960396039604,0.14478293983244478,0.16496572734196496,0.012566641279512566,0.3776846915460777,0.7365575019040366,0.30974866717440974,0.39025133282559027
13-1021,"Buyers and Purchasing Agents, Farm Products",35,154960.0,154960.0,75140.0,104.0,88.0,78.0,0.0,0.0,0.0,192.0,78.0,0.0,104.0,88.0,78.0,0.0,0.0,0.0,192.0,78.0,0.0,0.0006711409395973154,0.0005678884873515746,0.0005033557046979866,0.0,0.0,0.0,0.00123902942694889,0.0005033557046979866,0.0
13-1022,"Wholesale and Retail Buyers, Except Farm Products",36,154960.0,154960.0,75140.0,530.0,281.0,409.0,84.0,0.0,0.0,811.0,493.0,0.0,530.0,281.0,409.0,84.0,0.0,0.0,811.0,493.0,0.0,0.0034202374806401653,0.0018133711925658233,0.00263939081053175,0.0005420753742901394,0.0,0.0,0.005233608673205989,0.0031814661848218895,0.0
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",37,154960.0,154960.0,75140.0,1298.0,1137.0,1064.0,486.0,18.0,360.0,2435.0,1550.0,378.0,1298.0,1137.0,1064.0,486.0,18.0,360.0,2435.0,1550.0,378.0,0.008376355188435726,0.007337377387712958,0.006866288074341765,0.003136293236964378,0.00011615900877645844,0.0023231801755291687,0.015713732576148682,0.010002581311306144,0.002439339184305627
13-1031,"Claims Adjusters, Examiners, and Investigators",38,285270.0,285270.0,73380.0,1484.0,440.0,1206.0,16.0,19.0,42.0,1924.0,1222.0,61.0,1484.0,440.0,1206.0,16.0,19.0,42.0,1924.0,1222.0,61.0,0.005202089248781855,0.0015423984295579627,0.004227573877379325,5.608721562028955e-05,6.660356854909384e-05,0.00014722894100326008,0.006744487678339819,0.004283661092999614,0.0002138325095523539
13-1032,"Insurance Appraisers, Auto Damage",39,11430.0,11430.0,71580.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0027996500437445318,0.0,0.0,0.0,0.0,0.0027996500437445318,0.0,0.0
13-1041,Compliance Officers,40,359640.0,359640.0,76980.0,3023.0,3180.0,2160.0,1100.0,348.0,1488.0,6203.0,3260.0,1836.0,3023.0,3180.0,2160.0,1100.0,348.0,1488.0,6203.0,3260.0,1836.0,0.008405627850072294,0.008842175508842176,0.006006006006006006,0.003058614169725281,0.0009676343009676343,0.004137470804137471,0.01724780335891447,0.009064620175731286,0.005105105105105105
13-1051,Cost Estimators,41,225310.0,225310.0,76740.0,315.0,470.0,236.0,114.0,0.0,178.0,785.0,350.0,178.0,315.0,470.0,236.0,114.0,0.0,178.0,785.0,350.0,178.0,0.001398073765034841,0.002086014824020239,0.0010474457414229284,0.0005059695530602281,0.0,0.0007900226354800053,0.0034840885890550797,0.0015534152944831564,0.0007900226354800053
13-1071,Human Resources Specialists,42,835360.0,835360.0,73080.0,6751.0,3091.0,4515.0,1209.0,319.0,1195.0,9842.0,5724.0,1514.0,6751.0,3091.0,4515.0,1209.0,319.0,1195.0,9842.0,5724.0,1514.0,0.008081545680904042,0.0037002011108982955,0.005404855391687416,0.0014472802145182916,0.00038187128902509096,0.0014305209729936793,0.011781746791802336,0.006852135606205708,0.0018123922620187703
13-1074,Farm Labor Contractors,43,550.0,550.0,54630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-1075,Labor Relations Specialists,44,62200.0,62200.0,87470.0,78.0,191.0,32.0,33.0,0.0,24.0,269.0,65.0,24.0,78.0,191.0,32.0,33.0,0.0,24.0,269.0,65.0,24.0,0.0012540192926045017,0.0030707395498392282,0.0005144694533762058,0.0005305466237942123,0.0,0.0003858520900321543,0.00432475884244373,0.001045016077170418,0.0003858520900321543
13-1081,Logisticians,45,202970.0,202970.0,81220.0,3356.0,2841.0,2648.0,826.0,40.0,912.0,6197.0,3474.0,952.0,3356.0,2841.0,2648.0,826.0,40.0,912.0,6197.0,3474.0,952.0,0.01653446322116569,0.013997142434842588,0.013046262994531212,0.004069566931073558,0.00019707345913189142,0.0044932748682071245,0.03053160565600828,0.01711582992560477,0.004690348327339016
13-1111,Management Analysts,46,808860.0,808860.0,104660.0,784.0,3195.0,602.0,1068.0,120.0,1887.0,3979.0,1670.0,2007.0,784.0,3195.0,602.0,1068.0,120.0,1887.0,3979.0,1670.0,2007.0,0.0009692653858516925,0.00395000370892367,0.0007442573498504068,0.0013203768266449077,0.00014835694681403458,0.002332912988650694,0.0049192690947753625,0.0020646341764953145,0.002481269935464728
13-1121,"Meeting, Convention, and Event Planners",47,112070.0,112070.0,58750.0,1311.0,1239.0,996.0,417.0,37.0,538.0,2550.0,1413.0,575.0,1311.0,1239.0,996.0,417.0,37.0,538.0,2550.0,1413.0,575.0,0.011698045864192022,0.011055590256089943,0.008887302578745426,0.0037208887302578745,0.00033015079860801286,0.004800571071651646,0.022753636120281966,0.012608191309003302,0.005130721870259659
13-1131,Fundraisers,48,94630.0,94630.0,66670.0,436.0,2133.0,372.0,596.0,0.0,1023.0,2569.0,968.0,1023.0,436.0,2133.0,372.0,596.0,0.0,1023.0,2569.0,968.0,1023.0,0.004607418366268625,0.022540420585438023,0.003931100073972313,0.006298214097009405,0.0,0.01081052520342386,0.027147838951706648,0.010229314170981718,0.01081052520342386
13-1141,"Compensation, Benefits, and Job Analysis Specialists",49,93550.0,93550.0,75920.0,9670.0,2923.0,6920.0,1059.0,1108.0,1464.0,12593.0,7979.0,2572.0,9670.0,2923.0,6920.0,1059.0,1108.0,1464.0,12593.0,7979.0,2572.0,0.10336718332442545,0.031245323356493854,0.07397113842864778,0.011320149652592197,0.011843933725280599,0.015649385355424907,0.13461250668091929,0.08529128808123998,0.027493319080705503
13-1151,Training and Development Specialists,50,367180.0,367180.0,69870.0,517.0,979.0,309.0,381.0,41.0,358.0,1496.0,690.0,399.0,517.0,979.0,309.0,381.0,41.0,358.0,1496.0,690.0,399.0,0.001408028759736369,0.0026662672258837626,0.0008415491039816984,0.0010376382155890844,0.0001116618552208726,0.0009749986382700583,0.004074295985620132,0.0018791873195707826,0.0010866604934909308
13-1161,Market Research Analysts and Marketing Specialists,51,798620.0,798620.0,78880.0,16066.0,7519.0,14093.0,3722.0,1048.0,3434.0,23585.0,17815.0,4482.0,16066.0,7519.0,14093.0,3722.0,1048.0,3434.0,23585.0,17815.0,4482.0,0.020117202173749717,0.009414990859232175,0.017646690541183542,0.004660539430517643,0.0013122636548045378,0.004299917357441587,0.029532193032981893,0.022307229971701186,0.005612181012246124
13-1199,"Business Operations Specialists, All Other (#)",25,1362533.3333333333,1362533.3333333333,86580.27874547412,15925.0,13338.0,12602.0,5076.0,1103.0,5941.0,29263.0,17678.0,7044.0,15925.0,13338.0,12602.0,5076.0,1103.0,5941.0,29263.0,17678.0,7044.0,0.01168778745474117,0.009789118309032195,0.009248948037968491,0.003725413445542617,0.0008095214795968295,0.004360260299442215,0.021476905763773365,0.012974361483511108,0.005169781779039045
13-2011,Accountants and Auditors,52,1402420.0,1402420.0,86740.0,5142.0,4628.0,4093.0,1955.0,290.0,1898.0,9770.0,6048.0,2188.0,5142.0,4628.0,4093.0,1955.0,290.0,1898.0,9770.0,6048.0,2188.0,0.003666519302348797,0.0033000099827441135,0.0029185265469688112,0.001394018910169564,0.00020678541378474352,0.0013533748805635972,0.006966529285092911,0.004312545457138375,0.0015601602943483407
13-2021,Appraisers and Assessors of Real Estate (#),53,59970.0,59970.0,80460.0,1058.0,1075.0,935.0,374.0,0.0,261.0,2133.0,1309.0,261.0,1058.0,1075.0,935.0,374.0,0.0,261.0,2133.0,1309.0,261.0,0.017642154410538603,0.01792562948140737,0.015591128897782225,0.00623645155911289,0.0,0.004352176088044022,0.035567783891945974,0.021827580456895115,0.004352176088044022
13-2031,Budget Analysts,54,48430.0,48430.0,87680.0,19.0,640.0,17.0,78.0,0.0,421.0,659.0,95.0,421.0,19.0,640.0,17.0,78.0,0.0,421.0,659.0,95.0,421.0,0.000392318810654553,0.013214949411521784,0.00035102209374354736,0.0016105719595292175,0.0,0.008692958909766674,0.013607268222176337,0.0019615940532727648,0.008692958909766674
13-2041,Credit Analysts,55,71960.0,71960.0,92180.0,358.0,193.0,306.0,42.0,0.0,55.0,551.0,348.0,55.0,358.0,193.0,306.0,42.0,0.0,55.0,551.0,348.0,55.0,0.004974986103390772,0.0026820455808782657,0.004252362423568649,0.0005836575875486381,0.0,0.000764313507504169,0.007657031684269038,0.0048360200111172875,0.000764313507504169
13-2051,Financial Analysts (#),56,319270.0,319270.0,109432.29335672002,4946.0,5177.0,4451.0,2395.0,91.0,2387.0,10123.0,6846.0,2478.0,4946.0,5177.0,4451.0,2395.0,91.0,2387.0,10123.0,6846.0,2478.0,0.015491590190121213,0.01621511573276537,0.013941178313026593,0.00750148776897297,0.00028502521376891035,0.007476430607322956,0.03170670592288659,0.021442666081999563,0.007761455821091866
13-2052,Personal Financial Advisors,57,283060.0,283060.0,137740.0,4765.0,11381.0,3881.0,4118.0,209.0,6814.0,16146.0,7999.0,7023.0,4765.0,11381.0,3881.0,4118.0,209.0,6814.0,16146.0,7999.0,7023.0,0.016833886808450504,0.040207023245954925,0.013710874019642478,0.014548152335193952,0.0007383593584399067,0.024072634777079063,0.057040910054405425,0.02825902635483643,0.02481099413551897
13-2053,Insurance Underwriters,58,105900.0,105900.0,82990.0,301.0,276.0,150.0,81.0,0.0,0.0,577.0,231.0,0.0,301.0,276.0,150.0,81.0,0.0,0.0,577.0,231.0,0.0,0.002842304060434372,0.002606232294617564,0.00141643059490085,0.000764872521246459,0.0,0.0,0.005448536355051936,0.0021813031161473087,0.0
13-2061,Financial Examiners,59,63370.0,63370.0,95610.0,791.0,1645.0,627.0,430.0,79.0,1083.0,2436.0,1057.0,1162.0,791.0,1645.0,627.0,430.0,79.0,1083.0,2436.0,1057.0,1162.0,0.01248224712008837,0.025958655515228028,0.00989427173741518,0.006785545210667508,0.0012466466782389144,0.017090105728262583,0.038440902635316396,0.01667981694808269,0.0183367524065015
13-2071,Credit Counselors,60,29090.0,29090.0,51650.0,3008.5,13269.0,2017.5,3612.0,202.0,8614.0,16277.5,5629.5,8816.0,2984.425928891736,13236.056534272902,1997.6494501388,3612.0,202.0,8614.0,16220.482463164637,5609.6494501388,8816.0,0.10259284733213256,0.4550036622300757,0.06867134582807838,0.12416638019938123,0.006943966998968718,0.2961155036094878,0.5575965095622082,0.1928377260274596,0.3030594706084565
13-2072,Loan Officers,61,345550.0,345550.0,84160.0,1670.5,2786.0,1281.5,776.0,86.0,1560.0,4456.5,2057.5,1646.0,1694.574071108264,2818.943465727098,1301.3505498612,776.0,86.0,1560.0,4513.517536835362,2077.3505498612003,1646.0,0.004903990945183806,0.00815784536456981,0.0037660267685174363,0.0022456952684126756,0.00024887859933439446,0.004514542034437853,0.013061836309753615,0.006011722036930112,0.004763420633772247
13-2081,"Tax Examiners and Collectors, and Revenue Agents",62,50610.0,50610.0,64410.0,115.0,766.0,51.0,83.0,0.0,471.0,881.0,134.0,471.0,115.0,766.0,51.0,83.0,0.0,471.0,881.0,134.0,471.0,0.0022722782058881646,0.015135348745307252,0.001007705986959099,0.0016399920964236317,0.0,0.00930646117368109,0.017407626951195417,0.002647698083382731,0.00930646117368109
13-2082,Tax Preparers,63,82370.0,82370.0,55840.0,580.0,3540.0,240.0,593.0,212.0,2775.0,4120.0,833.0,2987.0,580.0,3540.0,240.0,593.0,212.0,2775.0,4120.0,833.0,2987.0,0.007041398567439602,0.04297681194609688,0.0029136821658370766,0.00719922301808911,0.002573752579822751,0.0336894500424912,0.050018210513536485,0.010112905183926187,0.03626320262231395
13-2099,"Financial Specialists, All Other (#)",56,154920.0,154920.0,89443.82649109217,6756.0,9284.0,5080.0,3133.0,363.0,4346.0,16040.0,8213.0,4709.0,6756.0,9284.0,5080.0,3133.0,363.0,4346.0,16040.0,8213.0,4709.0,0.043609604957397366,0.059927704621740255,0.03279111799638523,0.020223341079266717,0.002343144848954299,0.028053188742576812,0.10353730957913762,0.05301445907565195,0.030396333591531113
15-1111,Computer and Information Research Scientists,66,33780.0,33780.0,155880.0,15721.0,14646.0,10798.0,5025.5,2749.0,9141.0,30367.0,15823.5,11890.0,15688.408677248677,14481.281693121693,10773.336296296296,4973.970476190476,2749.0,9037.940952380952,30169.690370370372,15747.306772486772,11786.940952380952,0.4644289128848039,0.4286939518390081,0.31892647413547354,0.1472460176492148,0.08137951450562463,0.26755301812850657,0.8931228647238121,0.46617249178468834,0.3489325326341312
