soc_2010,title_2010,group_id,oews_tot_emp_allocated,oews_tot_emp_imputed,oews_emp_was_imputed,oews_a_mean,equal_1p_api_task_count,equal_claude_ai_task_count,equal_1p_api_automation_count,equal_claude_ai_automation_count,equal_1p_api_augmentation_count,equal_claude_ai_augmentation_count,equal_total_task_count,equal_total_automation_count,equal_total_augmentation_count,emp_1p_api_task_count,emp_claude_ai_task_count,emp_1p_api_automation_count,emp_claude_ai_automation_count,emp_1p_api_augmentation_count,emp_claude_ai_augmentation_count,emp_total_task_count,emp_total_automation_count,emp_total_augmentation_count,emp_1p_api_task_count_pc,emp_claude_ai_task_count_pc,emp_1p_api_automation_count_pc,emp_claude_ai_automation_count_pc,emp_1p_api_augmentation_count_pc,emp_claude_ai_augmentation_count_pc,emp_total_task_count_pc,emp_total_automation_count_pc,emp_total_augmentation_count_pc
11-3111,Compensation and Benefits Managers,13,20070.0,20070.0,False,156230.0,186.0,753.0,129.0,157.0,0.0,271.0,939.0,286.0,271.0,144.51903731058195,718.9856105946772,91.66713357952375,157.0,0.0,271.0,863.5046479052592,248.66713357952375,271.0,0.0072007492431779745,0.0358238968906167,0.004567370880893062,0.007822620827105132,0.0,0.013502740408570005,0.043024646133794676,0.012389991707998194,0.013502740408570005
11-3121,Human Resources Managers,14,215520.0,215520.0,False,160480.0,693.0,945.0,478.0,243.0,58.0,349.0,1638.0,721.0,407.0,734.480962689418,979.0143894053228,515.3328664204762,243.0,58.0,349.0,1713.4953520947408,758.3328664204762,407.0,0.0034079480451439216,0.004542568621962337,0.0023911138939331673,0.0011275055679287305,0.00026911655530809206,0.0016193392724573126,0.007950516667106259,0.003518619461861898,0.0018884558277654047
11-3131,Training and Development Managers,15,44960.0,44960.0,False,140590.0,794.0,2398.0,512.0,897.0,72.0,1246.0,3192.0,1409.0,1318.0,794.0,2398.0,512.0,897.0,72.0,1246.0,3192.0,1409.0,1318.0,0.01766014234875445,0.05333629893238434,0.011387900355871887,0.019951067615658364,0.001601423487544484,0.027713523131672597,0.07099644128113879,0.03133896797153025,0.029314946619217082
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",16,5910.0,5910.0,False,97240.0,92.0,1305.0,15.0,275.0,0.0,625.0,1397.0,290.0,625.0,92.0,1305.0,15.0,275.0,0.0,625.0,1397.0,290.0,625.0,0.0155668358714044,0.22081218274111675,0.0025380710659898475,0.046531302876480544,0.0,0.10575296108291032,0.23637901861252114,0.049069373942470386,0.10575296108291032
11-9021,Construction Managers,17,348330.0,348330.0,False,119660.0,520.0,981.0,380.0,241.0,0.0,444.0,1501.0,621.0,444.0,520.0,981.0,380.0,241.0,0.0,444.0,1501.0,621.0,444.0,0.0014928372520311198,0.0028162948927740934,0.0010909195303304337,0.0006918726494990383,0.0,0.0012746533459650333,0.004309132144805213,0.0017827921798294721,0.0012746533459650333
11-9031,"Education Administrators, Preschool and Childcare Center/Program",18,71620.0,71620.0,False,62640.0,393.0,1117.0,281.0,434.0,0.0,411.0,1510.0,715.0,411.0,393.0,1117.0,281.0,434.0,0.0,411.0,1510.0,715.0,411.0,0.005487294051940799,0.015596202178162525,0.003923485060039095,0.0060597598436191,0.0,0.005738620497067858,0.021083496230103322,0.009983244903658196,0.005738620497067858
11-9032,"Education Administrators, Elementary and Secondary School",19,319630.0,319630.0,False,113360.0,2116.0,4630.0,1269.0,1745.0,528.0,2428.0,6746.0,3014.0,2956.0,2116.0,4630.0,1269.0,1745.0,528.0,2428.0,6746.0,3014.0,2956.0,0.006620154553702719,0.014485498858054625,0.003970215561743266,0.005459437474579983,0.001651910020961737,0.007596283202452836,0.021105653411757345,0.00942965303632325,0.009248193223414573
11-9033,"Education Administrators, Postsecondary",20,176420.0,176420.0,False,124450.0,67.0,2070.0,35.0,713.0,0.0,905.0,2137.0,748.0,905.0,67.0,2070.0,35.0,713.0,0.0,905.0,2137.0,748.0,905.0,0.000379775535653554,0.011733363564221744,0.00019839020519215507,0.004041491894343045,0.0,0.005129803877111439,0.012113139099875297,0.0042398820995352,0.005129803877111439
11-9039,"Education Administrators, All Other",21,53330.0,53330.0,False,99460.0,3332.0,7156.0,2440.0,1901.0,275.0,4789.0,10488.0,4341.0,5064.0,3332.0,7156.0,2440.0,1901.0,275.0,4789.0,10488.0,4341.0,5064.0,0.06247890493155822,0.13418338646165384,0.04575285955372211,0.0356459778736171,0.005156572285767861,0.08979936246015376,0.19666229139321206,0.08139883742733921,0.09495593474592162
11-9041,Architectural and Engineering Managers,22,210340.0,210340.0,False,175710.0,445.0,2741.0,310.0,716.0,16.0,1630.0,3186.0,1026.0,1646.0,445.0,2741.0,310.0,716.0,16.0,1630.0,3186.0,1026.0,1646.0,0.002115622325758296,0.01303128268517638,0.0014738043168203861,0.0034040125511077303,7.606731957782638e-05,0.0077493581819910624,0.015146905010934677,0.004877816867928117,0.00782542550156889
11-9051,Food Service Managers,23,244230.0,244230.0,False,72370.0,374.0,286.0,249.0,32.0,0.0,15.0,660.0,281.0,15.0,374.0,286.0,249.0,32.0,0.0,15.0,660.0,281.0,15.0,0.0015313434058060026,0.0011710273103222371,0.0010195307701756542,0.0001310240347213692,0.0,6.141751627564181e-05,0.00270237071612824,0.0011505548048970232,6.141751627564181e-05
11-9061,Funeral Service Managers,33,13120.0,13120.0,False,85650.0,971.0,1044.0,737.0,410.0,19.0,281.0,2015.0,1147.0,300.0,971.0,1037.8428645028337,737.0,410.0,19.0,278.08346213292117,2008.8428645028334,1147.0,297.08346213292117,0.07400914634146341,0.07910387686759403,0.05617378048780488,0.03125,0.001448170731707317,0.021195385833301918,0.15311302320905743,0.08742378048780487,0.022643556565009236
11-9071,Gaming Managers,24,4620.0,4620.0,False,102480.0,276.0,123.0,210.0,18.0,0.0,0.0,399.0,228.0,0.0,276.0,123.0,210.0,18.0,0.0,0.0,399.0,228.0,0.0,0.05974025974025974,0.026623376623376622,0.045454545454545456,0.003896103896103896,0.0,0.0,0.08636363636363636,0.04935064935064935,0.0
11-9081,Lodging Managers,26,41350.0,41350.0,False,77460.0,734.0,789.0,490.0,250.0,0.0,331.0,1523.0,740.0,331.0,734.0,789.0,490.0,250.0,0.0,331.0,1523.0,740.0,331.0,0.017750906892382103,0.019081015719467957,0.01185006045949214,0.006045949214026602,0.0,0.008004836759371222,0.03683192261185006,0.01789600967351874,0.008004836759371222
11-9111,Medical and Health Services Managers,27,565840.0,565840.0,False,137730.0,866.0,2264.0,647.0,1099.0,34.0,898.0,3130.0,1746.0,932.0,866.0,2264.0,647.0,1099.0,34.0,898.0,3130.0,1746.0,932.0,0.0015304679768132334,0.00400113106178425,0.0011434327725151987,0.0019422451576417362,6.008765728827937e-05,0.0015870210660257316,0.005531599038597484,0.0030856779301569348,0.0016471087233140111
11-9121,Natural Sciences Managers,28,100870.0,100870.0,False,173500.0,9528.0,3432.0,7597.0,1423.0,752.0,1225.0,12960.0,9020.0,1977.0,9528.0,3432.0,7597.0,1423.0,752.0,1225.0,12960.0,9020.0,1977.0,0.094458213542183,0.034023991275899675,0.07531476157430356,0.014107266779022505,0.00745514027956776,0.012144344205412909,0.12848220481808267,0.08942202835332606,0.019599484484980667
11-9131,Postmasters and Mail Superintendents,29,13810.0,13810.0,False,93760.0,160.0,48.0,112.0,0.0,0.0,0.0,208.0,112.0,0.0,160.0,48.0,112.0,0.0,0.0,0.0,208.0,112.0,0.0,0.011585807385952208,0.0034757422157856628,0.008110065170166545,0.0,0.0,0.0,0.015061549601737872,0.008110065170166545,0.0
11-9141,"Property, Real Estate, and Community Association Managers",30,296640.0,296640.0,False,82720.0,1433.0,1476.0,1179.0,506.0,0.0,523.0,2909.0,1685.0,523.0,1433.0,1476.0,1179.0,506.0,0.0,523.0,2909.0,1685.0,523.0,0.004830771305285868,0.004975728155339806,0.003974514563106796,0.0017057713052858684,0.0,0.0017630798274002157,0.009806499460625675,0.005680285868392664,0.0017630798274002157
11-9151,Social and Community Service Managers,31,195490.0,195490.0,False,86100.0,411.0,664.0,305.0,230.0,15.0,306.0,1075.0,535.0,321.0,411.0,664.0,305.0,230.0,15.0,306.0,1075.0,535.0,321.0,0.002102409330400532,0.003396593176121541,0.0015601821065016114,0.0011765307688372806,7.673026753286613e-05,0.001565297457670469,0.005499002506522073,0.002736712875338892,0.0016420277252033352
11-9161,Emergency Management Directors,32,12570.0,12570.0,False,97700.0,0.0,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0058870326173428794,0.0,0.0,0.0,0.0,0.0058870326173428794,0.0,0.0
11-9199,"Managers, All Other (#)",25,1013556.6666666667,1013556.6666666667,False,132966.217971697,30246.0,16910.0,21566.0,6482.0,2965.0,8183.0,47156.0,28048.0,11148.0,30246.0,16910.0,21566.0,6482.0,2965.0,8183.0,47156.0,28048.0,11148.0,0.029841449417398136,0.016683822973226296,0.02127754738264922,0.006395301035627016,0.0029253421121002935,0.008073549579533457,0.04652527239062443,0.027672848418276233,0.01099889169163375
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",34,14220.0,14220.0,False,165600.0,2313.0,7358.0,1901.0,2166.0,165.0,4959.0,9671.0,4067.0,5124.0,2313.0,7358.0,1901.0,2166.0,165.0,4959.0,9671.0,4067.0,5124.0,0.16265822784810127,0.5174402250351617,0.13368495077355838,0.15232067510548522,0.011603375527426161,0.3487341772151899,0.680098452883263,0.2860056258790436,0.36033755274261603
13-1021,"Buyers and Purchasing Agents, Farm Products",35,162300.0,162300.0,False,81720.0,104.0,88.0,78.0,0.0,0.0,0.0,192.0,78.0,0.0,104.0,88.0,78.0,0.0,0.0,0.0,192.0,78.0,0.0,0.000640788662969809,0.0005422057917436845,0.0004805914972273567,0.0,0.0,0.0,0.0011829944547134936,0.0004805914972273567,0.0
13-1022,"Wholesale and Retail Buyers, Except Farm Products",36,162300.0,162300.0,False,81720.0,530.0,281.0,409.0,84.0,0.0,0.0,811.0,493.0,0.0,530.0,281.0,409.0,84.0,0.0,0.0,811.0,493.0,0.0,0.003265557609365373,0.0017313616759088107,0.0025200246457178065,0.0005175600739371534,0.0,0.0,0.0049969192852741835,0.00303758471965496,0.0
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",37,162300.0,162300.0,False,81720.0,1298.0,1137.0,1064.0,486.0,18.0,360.0,2435.0,1550.0,378.0,1298.0,1137.0,1064.0,486.0,18.0,360.0,2435.0,1550.0,378.0,0.007997535428219347,0.00700554528650647,0.0065557609365372764,0.0029944547134935304,0.00011090573012939002,0.0022181146025878,0.015003080714725817,0.009550215650030808,0.0023290203327171904
13-1031,"Claims Adjusters, Examiners, and Investigators",38,305020.0,305020.0,False,78770.0,1484.0,440.0,1206.0,16.0,19.0,42.0,1924.0,1222.0,61.0,1484.0,440.0,1206.0,16.0,19.0,42.0,1924.0,1222.0,61.0,0.004865254737394269,0.0014425283587961445,0.003953839092518523,5.245557668349616e-05,6.22909973116517e-05,0.00013769588879417743,0.006307783096190414,0.00400629466920202,0.00019998688610582913
13-1032,"Insurance Appraisers, Auto Damage",39,7790.0,7790.0,False,77050.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.004107830551989731,0.0,0.0,0.0,0.0,0.004107830551989731,0.0,0.0
13-1041,Compliance Officers,40,397770.0,397770.0,False,84980.0,3023.0,3180.0,2160.0,1100.0,348.0,1488.0,6203.0,3260.0,1836.0,3023.0,3180.0,2160.0,1100.0,348.0,1488.0,6203.0,3260.0,1836.0,0.007599869271186867,0.007994569726223697,0.0054302737763028885,0.0027654172008949895,0.0008748774417376876,0.0037408552681197677,0.015594438997410564,0.008195690977197878,0.004615732709857455
13-1051,Cost Estimators,41,219530.0,219530.0,False,83160.0,315.0,470.0,236.0,114.0,0.0,178.0,785.0,350.0,178.0,315.0,470.0,236.0,114.0,0.0,178.0,785.0,350.0,178.0,0.0014348836149956725,0.0021409374572951305,0.0010750239147269166,0.000519291213046053,0.0,0.0008108231221245388,0.003575821072290803,0.0015943151277729695,0.0008108231221245388
13-1071,Human Resources Specialists,42,917460.0,917460.0,False,79730.0,6751.0,3091.0,4515.0,1209.0,319.0,1195.0,9842.0,5724.0,1514.0,6751.0,3091.0,4515.0,1209.0,319.0,1195.0,9842.0,5724.0,1514.0,0.007358358947529048,0.0033690842107557822,0.004921195474462102,0.0013177686220652671,0.0003476990822488174,0.0013025091012142218,0.01072744315828483,0.006238964096527369,0.0016502081834630393
13-1074,Farm Labor Contractors,43,410.0,410.0,False,51910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-1075,Labor Relations Specialists,44,64590.0,64590.0,False,97130.0,78.0,191.0,32.0,33.0,0.0,24.0,269.0,65.0,24.0,78.0,191.0,32.0,33.0,0.0,24.0,269.0,65.0,24.0,0.001207617278216442,0.0029571141043505185,0.0004954327295246942,0.0005109150023223409,0.0,0.00037157454714352065,0.004164731382566961,0.0010063477318470351,0.00037157454714352065
13-1081,Logisticians,45,235640.0,235640.0,False,87600.0,3356.0,2841.0,2648.0,826.0,40.0,912.0,6197.0,3474.0,952.0,3356.0,2841.0,2648.0,826.0,40.0,912.0,6197.0,3474.0,952.0,0.014242064165676456,0.01205652690544899,0.011237480903072484,0.0035053471397046344,0.00016975046681378373,0.0038703106433542692,0.026298591071125445,0.014742828042777118,0.004040061110168053
13-1111,Management Analysts,46,893900.0,893900.0,False,114710.0,784.0,3195.0,602.0,1068.0,120.0,1887.0,3979.0,1670.0,2007.0,784.0,3195.0,602.0,1068.0,120.0,1887.0,3979.0,1670.0,2007.0,0.0008770555990602975,0.003574225304843942,0.0006734534064212999,0.0011947645150464257,0.00013424320393780066,0.0021109743819219154,0.00445128090390424,0.0018682179214677256,0.0022452175858597156
13-1121,"Meeting, Convention, and Event Planners",47,134670.0,134670.0,False,65090.0,1311.0,1239.0,996.0,417.0,37.0,538.0,2550.0,1413.0,575.0,1311.0,1239.0,996.0,417.0,37.0,538.0,2550.0,1413.0,575.0,0.009734907551793272,0.009200267320115838,0.0073958565382045,0.003096458008465137,0.00027474567461201454,0.003994950620034157,0.01893517487190911,0.010492314546669637,0.004269696294646172
13-1131,Fundraisers,48,105930.0,105930.0,False,73130.0,436.0,2133.0,372.0,596.0,0.0,1023.0,2569.0,968.0,1023.0,436.0,2133.0,372.0,596.0,0.0,1023.0,2569.0,968.0,1023.0,0.004115925611252714,0.02013593882752761,0.003511753044463325,0.005626357028226187,0.0,0.009657320872274144,0.024251864438780326,0.009138110072689512,0.009657320872274144
13-1141,"Compensation, Benefits, and Job Analysis Specialists",49,102370.0,102370.0,False,82920.0,9670.0,2923.0,6920.0,1059.0,1108.0,1464.0,12593.0,7979.0,2572.0,9670.0,2923.0,6920.0,1059.0,1108.0,1464.0,12593.0,7979.0,2572.0,0.09446126794959461,0.028553287095828855,0.06759792908078538,0.010344827586206896,0.01082348344241477,0.014301064765067891,0.12301455504542347,0.07794275666699228,0.02512454820748266
13-1151,Training and Development Specialists,50,436610.0,436610.0,False,73760.0,517.0,979.0,309.0,381.0,41.0,358.0,1496.0,690.0,399.0,517.0,979.0,309.0,381.0,41.0,358.0,1496.0,690.0,399.0,0.0011841231304825818,0.002242275715169144,0.0007077254300176358,0.0008726323263324249,9.39053159570326e-05,0.0008199537344540895,0.003426398845651726,0.0015803577563500606,0.000913859050411122
13-1161,Market Research Analysts and Marketing Specialists,51,861140.0,861140.0,False,86480.0,16066.0,7519.0,14093.0,3722.0,1048.0,3434.0,23585.0,17815.0,4482.0,16066.0,7519.0,14093.0,3722.0,1048.0,3434.0,23585.0,17815.0,4482.0,0.018656664421580694,0.008731449009452587,0.01636551547948069,0.004322177578558655,0.0012169914299649301,0.003987737185591193,0.02738811343103328,0.020687693058039344,0.005204728615556123
13-1199,"Business Operations Specialists, All Other (#)",25,1463586.6666666667,1463586.6666666667,False,95982.30010294347,15925.0,13338.0,12602.0,5076.0,1103.0,5941.0,29263.0,17678.0,7044.0,15925.0,13338.0,12602.0,5076.0,1103.0,5941.0,29263.0,17678.0,7044.0,0.010880804234346673,0.00911322868933852,0.00861035447166322,0.0034681922947280195,0.0007536280734998041,0.004059206151099126,0.019994032923685193,0.01207854676639124,0.00481283422459893
13-2011,Accountants and Auditors,52,1448290.0,1448290.0,False,93520.0,5142.0,4628.0,4093.0,1955.0,290.0,1898.0,9770.0,6048.0,2188.0,5142.0,4628.0,4093.0,1955.0,290.0,1898.0,9770.0,6048.0,2188.0,0.0035503939128213274,0.0031954926154292304,0.0028260914595833707,0.0013498677751002906,0.00020023614055196128,0.0013105110164400777,0.006745886528250557,0.004175959234683661,0.001510747156992039
13-2021,Appraisers and Assessors of Real Estate (#),53,59070.0,59070.0,False,77160.0,1058.0,1075.0,935.0,374.0,0.0,261.0,2133.0,1309.0,261.0,1058.0,1075.0,935.0,374.0,0.0,261.0,2133.0,1309.0,261.0,0.017910953106483832,0.01819874724902658,0.015828677839851025,0.00633147113594041,0.0,0.00441848654139157,0.036109700355510414,0.022160148975791435,0.00441848654139157
13-2031,Budget Analysts,54,47170.0,47170.0,False,93920.0,19.0,640.0,17.0,78.0,0.0,421.0,659.0,95.0,421.0,19.0,640.0,17.0,78.0,0.0,421.0,659.0,95.0,421.0,0.0004027983888064448,0.013567945728217087,0.0003603985584057664,0.0016535933856264575,0.0,0.008925164299342803,0.013970744117023532,0.002013991944032224,0.008925164299342803
13-2041,Credit Analysts,55,67370.0,67370.0,False,98040.0,358.0,193.0,306.0,42.0,0.0,55.0,551.0,348.0,55.0,358.0,193.0,306.0,42.0,0.0,55.0,551.0,348.0,55.0,0.0053139379545791895,0.002864776606798278,0.0045420810449755085,0.0006234228885260501,0.0,0.0008163871159269705,0.008178714561377467,0.005165503933501558,0.0008163871159269705
13-2051,Financial Analysts (#),56,368740.0,368740.0,False,116752.70651407496,4946.0,5177.0,4451.0,2395.0,91.0,2387.0,10123.0,6846.0,2478.0,4946.0,5177.0,4451.0,2395.0,91.0,2387.0,10123.0,6846.0,2478.0,0.013413245104952,0.014039702771600587,0.012070835819276454,0.006495091392308944,0.0002467863535282313,0.006473395888702067,0.027452947876552586,0.018565927211585398,0.006720182242230297
13-2052,Personal Financial Advisors,57,270480.0,270480.0,False,160210.0,4765.0,11381.0,3881.0,4118.0,209.0,6814.0,16146.0,7999.0,7023.0,4765.0,11381.0,3881.0,4118.0,209.0,6814.0,16146.0,7999.0,7023.0,0.017616829340431826,0.04207704821058858,0.014348565513161786,0.015224785566400473,0.0007727003845016267,0.025192250813368827,0.05969387755102041,0.02957335107956226,0.025964951197870453
13-2053,Insurance Underwriters,58,107820.0,107820.0,False,90830.0,301.0,276.0,150.0,81.0,0.0,0.0,577.0,231.0,0.0,301.0,276.0,150.0,81.0,0.0,0.0,577.0,231.0,0.0,0.0027916898534594693,0.0025598219254312745,0.0013912075681691708,0.0007512520868113523,0.0,0.0,0.005351511778890744,0.002142459654980523,0.0
13-2061,Financial Examiners,59,62830.0,62830.0,False,103650.0,791.0,1645.0,627.0,430.0,79.0,1083.0,2436.0,1057.0,1162.0,791.0,1645.0,627.0,430.0,79.0,1083.0,2436.0,1057.0,1162.0,0.012589527295877765,0.026181760305586502,0.009979309247174916,0.006843864395989177,0.0012573611332166164,0.017236988699665765,0.03877128760146427,0.016823173643164095,0.01849434983288238
13-2071,Credit Counselors,60,28110.0,28110.0,False,55890.0,3008.5,13269.0,2017.5,3612.0,202.0,8614.0,16277.5,5629.5,8816.0,2985.0284647250814,13236.881056992217,1998.1462779312076,3612.0,202.0,8614.0,16221.909521717298,5610.146277931208,8816.0,0.10619098060210179,0.470895804233092,0.07108311198616889,0.12849519743863394,0.0071860547847741015,0.3064389896833867,0.5770867848351938,0.19957830942480284,0.3136250444681608
13-2072,Loan Officers,61,290530.0,290530.0,False,86020.0,1670.5,2786.0,1281.5,776.0,86.0,1560.0,4456.5,2057.5,1646.0,1693.9715352749186,2818.118943007783,1300.8537220687924,776.0,86.0,1560.0,4512.090478282702,2076.853722068792,1646.0,0.005830625185952978,0.009699924080156207,0.0044775194371279815,0.002670980621622552,0.0002960107389942519,0.005369497125942244,0.015530549266109186,0.0071485000587505326,0.005665507864936495
13-2081,"Tax Examiners and Collectors, and Revenue Agents",62,53530.0,53530.0,False,67570.0,115.0,766.0,51.0,83.0,0.0,471.0,881.0,134.0,471.0,115.0,766.0,51.0,83.0,0.0,471.0,881.0,134.0,471.0,0.002148328040351205,0.01430973286007846,0.0009527367831122735,0.0015505324117317393,0.0,0.00879880440874276,0.016458060900429665,0.0025032691948440127,0.00879880440874276
13-2082,Tax Preparers,63,73570.0,73570.0,False,58860.0,580.0,3540.0,240.0,593.0,212.0,2775.0,4120.0,833.0,2987.0,580.0,3540.0,240.0,593.0,212.0,2775.0,4120.0,833.0,2987.0,0.007883648226179148,0.048117439173576186,0.0032621992660051653,0.008060350686421096,0.0028816093516378957,0.03771917901318472,0.05600108739975534,0.01132254995242626,0.040600788364822615
13-2099,"Financial Specialists, All Other (#)",56,155610.0,155610.0,False,98602.334682861,6756.0,9284.0,5080.0,3133.0,363.0,4346.0,16040.0,8213.0,4709.0,6756.0,9284.0,5080.0,3133.0,363.0,4346.0,16040.0,8213.0,4709.0,0.0434162328899171,0.059661975451449134,0.03264571685624317,0.020133667502088556,0.0023327549643339116,0.027928796349848982,0.10307820834136623,0.052779384358331724,0.030261551314182893
