task_key,soc_2010,1p_api_task_count,claude_ai_task_count,1p_api_automation_count,claude_ai_automation_count,1p_api_augmentation_count,claude_ai_augmentation_count,total_task_count,total_automation_count,total_augmentation_count
"deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",11-1011,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",11-1011,212.0,1191.0,145.0,286.0,23.0,854.0,1403.0,431.0,877.0
"prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",11-1011,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
"review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct or conduct studies or research on issues affecting areas of responsibility.,11-1011,45.0,16.0,18.0,0.0,0.0,0.0,61.0,18.0,0.0
"direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"make presentations to legislative or other government committees regarding policies, programs, or budgets.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refer major policy matters to elected representatives for final decisions.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,11-1011,95.0,78.0,68.0,0.0,0.0,0.0,173.0,68.0,0.0
conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prepare bylaws approved by elected officials and ensure that bylaws are enforced.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"serve as liaisons between organizations, shareholders, and outside organizations.",11-1011,59.0,0.0,16.0,0.0,0.0,0.0,59.0,16.0,0.0
attend and participate in meetings of municipal councils or council committees.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
represent organizations or promote their objectives at official functions or delegate representatives to do so.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
organize or approve promotional campaigns.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominate citizens to boards or commissions.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supervise employees or volunteers working on sustainability projects.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"research environmental sustainability issues, concerns, or stakeholder interests.",11-1011,0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
develop methodologies to assess the viability or success of sustainability initiatives.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitor and evaluate effectiveness of sustainability programs.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",11-1011,0.0,77.0,0.0,0.0,0.0,16.0,77.0,0.0,16.0
"develop, or oversee the development of, sustainability evaluation or monitoring systems.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"create and maintain sustainability program documents, such as schedules and budgets.",11-1011,0.0,47.0,0.0,0.0,0.0,15.0,47.0,0.0,15.0
direct sustainability program operations to ensure compliance with environmental or governmental regulations.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"identify educational, training, or other development opportunities for sustainability employees or volunteers.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formulate or implement sustainability campaign or marketing strategies.,11-1011,0.0,40.0,0.0,0.0,0.0,17.0,40.0,0.0,17.0
identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conduct sustainability- or environment-related risk assessments.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",11-1011,0.0,95.0,0.0,0.0,0.0,56.0,95.0,0.0,56.0
write and distribute financial or environmental impact reports.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021,1028.0,667.0,813.0,314.0,125.0,313.0,1695.0,1127.0,438.0
"direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct administrative activities directly related to making products or providing services.,11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prepare staff work schedules and assign specific duties.,11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,11-1021,36.0,0.0,34.0,0.0,0.0,0.0,36.0,34.0,0.0
"direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"perform personnel functions such as selection, training, or evaluation.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plan or direct activities such as sales promotions that require coordination with other department managers.,11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
set prices or credit terms for goods or services based on forecasts of customer demand.,11-1021,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0
"manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",11-1021,176.0,469.0,126.0,174.0,0.0,231.0,645.0,300.0,231.0
recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct non-merchandising departments of businesses, such as advertising or purchasing.",11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plan store layouts or design displays.,11-1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyze and understand the local and national implications of proposed legislation.,11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"appoint nominees to leadership posts, or approve such appointments.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confer with colleagues to formulate positions and strategies pertaining to pending issues.,11-1031,0.0,91.0,0.0,18.0,0.0,57.0,91.0,18.0,57.0
"debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop expertise in subject matters related to committee assignments.,11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maintain knowledge of relevant national and international current events.,11-1031,0.0,97.0,0.0,93.0,0.0,0.0,97.0,93.0,0.0
"make decisions that balance the perspectives of private citizens, public officials, and party leaders.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",11-1031,0.0,121.0,0.0,42.0,0.0,46.0,121.0,42.0,46.0
read and review concerns of constituents or the general public and determine if governmental action is necessary.,11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"review bills in committee, and make recommendations about their future.",11-1031,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
seek federal funding for local projects and programs.,11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"write, prepare, and deliver statements for the congressional record.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"conduct ""head counts"" to help predict the outcome of upcoming votes.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"determine campaign strategies for media advertising, positions on issues, and public appearances.",11-1031,38.0,123.0,0.0,18.0,0.0,23.0,161.0,18.0,23.0
encourage and support party candidates for political office.,11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"establish personal offices in local districts or states, and manage office staff.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"evaluate the structure, efficiency, activities, and performance of government agencies.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promote the industries and products of their electoral districts.,11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"represent their government at local, national, and international meetings and conferences.",11-1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speak to students to encourage and support the development of future political leaders.,11-1031,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
"inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",11-2011,763.0,399.0,573.0,88.0,168.0,290.0,1162.0,661.0,458.0
"plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",11-2011,2562.0,6595.0,2044.0,2358.0,416.0,4168.0,9157.0,4402.0,4584.0
gather and organize information to plan advertising campaigns.,11-2011,1111.0,644.0,998.0,390.0,17.0,200.0,1755.0,1388.0,217.0
confer with clients to provide marketing or technical advice.,11-2011,140.0,270.0,77.0,47.0,0.0,143.0,410.0,124.0,143.0
"direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",11-2011,15.0,21.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
prepare budgets and submit estimates for program costs as part of campaign plan development.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prepare and negotiate advertising and sales contracts.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plan and execute advertising policies and strategies for organizations.,11-2011,86.0,174.0,41.0,25.0,0.0,77.0,260.0,66.0,77.0
assist with annual budget development.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct and coordinate product research and development.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",11-2011,37.0,0.0,35.0,0.0,0.0,0.0,37.0,35.0,0.0
represent company at trade association meetings to promote products.,11-2011,248.0,212.0,212.0,68.0,0.0,106.0,460.0,280.0,106.0
"read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",11-2011,0.0,70.0,0.0,62.0,0.0,0.0,70.0,62.0,0.0
consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train and direct workers engaged in developing and producing advertisements.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,11-2011,328.0,196.0,260.0,74.0,0.0,60.0,524.0,334.0,60.0
monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,11-2011,2407.0,2611.0,1984.0,1119.0,298.0,1444.0,5018.0,3103.0,1742.0
coordinate with the media to disseminate advertising.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contact organizations to explain services and facilities offered.,11-2011,243.0,35.0,213.0,0.0,0.0,0.0,278.0,213.0,0.0
"manage sales team including setting goals, providing incentives, and evaluating employee performance.",11-2011,33.0,0.0,17.0,0.0,0.0,0.0,33.0,17.0,0.0
"assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyze green product marketing or sales trends to forecast future conditions.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyze the effectiveness of marketing tactics or channels.,11-2011,152.0,125.0,130.0,41.0,0.0,0.0,277.0,171.0,0.0
"attend or participate in conferences, community events, and promotional events related to green products or technologies.",11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.",11-2011,139.0,0.0,102.0,0.0,0.0,0.0,139.0,102.0,0.0
"develop branding or sales initiatives for green products, such as solar energy systems, green cleaning products, or products using renewable or recycled materials.",11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",11-2011,146.0,416.0,132.0,138.0,0.0,243.0,562.0,270.0,243.0
"develop comprehensive marketing strategies, using knowledge of green products and technologies, markets, and regulations.",11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identify marketing channels for green products or services.,11-2011,21.0,0.0,21.0,0.0,0.0,0.0,21.0,21.0,0.0
"revise existing marketing plans or campaigns for green products, technologies, or services.",11-2011,16.0,50.0,0.0,0.0,0.0,31.0,66.0,0.0,31.0
"write marketing content for green product web sites, brochures, or other communication media.",11-2011,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",11-2011,22.0,91.0,0.0,0.0,0.0,15.0,113.0,0.0,15.0
coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,11-2011,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
"devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",11-2011,73.0,214.0,51.0,64.0,0.0,118.0,287.0,115.0,118.0
generate or identify sales leads for green products and technologies.,11-2011,52.0,0.0,19.0,0.0,0.0,0.0,52.0,19.0,0.0
"maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",11-2011,17.0,23.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
monitor green-related industry statistics or literature to identify trends.,11-2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",11-2021,282.0,1434.0,192.0,400.0,43.0,991.0,1716.0,592.0,1034.0
"formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",11-2021,340.0,841.0,243.0,316.0,17.0,460.0,1181.0,559.0,477.0
"evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop pricing strategies, balancing firm objectives and customer satisfaction.",11-2021,47.0,440.0,16.0,83.0,0.0,317.0,487.0,99.0,317.0
compile lists describing product or service offerings.,11-2021,91.0,33.0,84.0,20.0,0.0,0.0,124.0,104.0,0.0
"direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"consult with product development personnel on product specifications such as design, color, or packaging.",11-2021,0.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
"use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",11-2021,31.0,169.0,21.0,50.0,0.0,59.0,200.0,71.0,59.0
"negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",11-2021,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
initiate market research studies or analyze their findings.,11-2021,50.0,73.0,27.0,35.0,0.0,0.0,123.0,62.0,0.0
"confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",11-2021,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conduct economic or commercial surveys to identify potential markets for products or services.,11-2021,131.0,174.0,116.0,105.0,0.0,57.0,305.0,221.0,57.0
"recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",11-2021,39.0,174.0,29.0,49.0,0.0,65.0,213.0,78.0,65.0
select products or accessories to be displayed at trade or special production shows.,11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
develop business cases for environmental marketing strategies.,11-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"integrate environmental information into product or company marketing strategies, policies, or activities.",11-2021,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
resolve customer complaints regarding sales and service.,11-2022,1445.0,329.0,1205.0,112.0,57.0,109.0,1774.0,1317.0,166.0
oversee regional and local sales managers and their staffs.,11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
determine price schedules and discount rates.,11-2022,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
review operational records and reports to project sales and determine profitability.,11-2022,0.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
monitor customer preferences to determine focus of sales efforts.,11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prepare budgets and approve budget expenditures.,11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",11-2022,19.0,0.0,15.0,0.0,0.0,0.0,19.0,15.0,0.0
confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,11-2022,114.0,44.0,89.0,0.0,0.0,0.0,158.0,89.0,0.0
direct foreign sales and service outlets of an organization.,11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,11-2022,0.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.",11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"assess marketing potential of new and existing store locations, considering statistics and expenditures.",11-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
represent company at trade association meetings to promote products.,11-2022,248.0,212.0,212.0,68.0,0.0,106.0,460.0,280.0,106.0
"establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",11-2031,86.0,150.0,73.0,47.0,0.0,53.0,236.0,120.0,53.0
"write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",11-2031,592.0,3498.0,400.0,1019.0,100.0,2406.0,4090.0,1419.0,2506.0
"identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",11-2031,117.0,218.0,79.0,81.0,0.0,82.0,335.0,160.0,82.0
"assign, supervise, and review the activities of public relations staff.",11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",11-2031,967.0,2753.0,759.0,823.0,119.0,1877.0,3720.0,1582.0,1996.0
respond to requests for information about employers' activities or status.,11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manage communications budgets.,11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct activities of external agencies, establishments, and departments that develop and implement communication strategies and information programs.",11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
draft speeches for company executives and arrange interviews and other forms of contact for them.,11-2031,0.0,660.0,0.0,297.0,0.0,345.0,660.0,297.0,345.0
evaluate advertising and promotion programs for compatibility with public relations efforts.,11-2031,56.0,31.0,49.0,0.0,0.0,0.0,87.0,49.0,0.0
"manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",11-2031,0.0,96.0,0.0,0.0,0.0,35.0,96.0,0.0,35.0
"formulate policies and procedures related to public information programs, working with public relations executives.",11-2031,0.0,43.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
"establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confer with labor relations managers to develop internal communications that keep employees informed of company activities.,11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"produce films and other video products, regulate their distribution, and operate film library.",11-2031,71.0,0.0,60.0,0.0,0.0,0.0,71.0,60.0,0.0
"observe and report on social, economic, and political trends that might affect employers.",11-2031,0.0,30.0,0.0,0.0,0.0,17.0,30.0,0.0,17.0
maintain company archives.,11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manage in-house communication courses.,11-2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
